LotFrontage,LotArea,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,TotalSF,TotalBaths,TotalPorchSF,HouseAge,RemodAge,IsRemodeled,HasGarage,HasFireplace,MSZoning_RL,MSZoning_RM,MSZoning_C (all),LotConfig_Corner,LotConfig_CulDSac,LandContour_Lvl,Neighborhood_NridgHt,Neighborhood_Crawfor,Neighborhood_NAmes,Neighborhood_Edwards,Neighborhood_IDOTRR,Neighborhood_OldTown,Condition1_Artery,BldgType_1Fam,HouseStyle_2Story,HouseStyle_1.5Fin,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_BrkComm,Exterior2nd_VinylSd,Exterior2nd_Brk Cmn,MasVnrType_BrkFace,Foundation_CBlock,Foundation_PConc,Foundation_BrkTil,CentralAir_Y,CentralAir_N,Electrical_SBrkr,GarageType_Detchd,GarageType_Attchd,SaleType_WD,SaleCondition_Normal,SaleCondition_Abnorml,SaleCondition_Family,MSSubClass_30,MSSubClass_20,MoSold_8,MoSold_6,MoSold_3,MoSold_7,MoSold_2,MoSold_12,MoSold_11,YrSold_2007,YrSold_2009,YrSold_2008,YrSold_2010,YrSold_2006
76.0,9120,4,3,6,6,1958,1958,0.0,3,3,3,3,1,5,662,1,0,599,1261,5,1261,0,1261,1,1,0,3,3,6,8,1,3,1958.0,2,2,433,2,0,0,0,288,2522,2.0,288,50,50,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
60.0,8072,4,3,5,5,1994,1995,0.0,3,4,4,4,1,5,746,1,0,244,990,5,990,0,990,1,1,0,3,3,5,8,0,0,2000.0,1,2,480,2,0,64,0,0,1980,2.0,64,15,14,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
70.0,8400,4,3,8,6,2001,2001,0.0,4,3,4,3,1,6,643,1,0,167,810,5,810,855,1665,1,2,1,3,4,6,8,0,0,2001.0,3,2,528,2,0,45,0,0,2475,3.5,45,8,8,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
80.0,8892,3,3,5,5,1960,1960,66.0,3,3,3,3,1,1,0,1,0,1065,1065,4,1065,0,1065,0,1,1,3,3,6,8,0,0,1974.0,1,2,461,2,74,0,0,0,2130,1.5,0,47,47,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
33.0,4456,4,3,4,5,1920,2008,0.0,3,3,3,3,1,1,0,1,0,736,736,4,736,716,1452,0,2,0,2,3,8,8,0,0,0.0,0,0,0,0,0,0,102,0,2188,2.0,102,89,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
60.0,7200,4,3,5,7,1950,1950,0.0,3,3,0,0,0,0,0,0,0,0,0,3,1040,0,1040,0,1,0,2,3,5,8,0,0,1950.0,1,2,625,2,0,0,0,0,1040,1.0,0,56,56,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
68.0,7820,3,3,9,5,2007,2007,362.0,5,3,5,3,1,1,0,1,0,1869,1869,5,1869,0,1869,0,2,0,2,5,6,8,1,4,2007.0,2,2,617,2,210,54,0,0,3738,2.0,54,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
80.0,10480,4,3,7,6,1976,1976,660.0,3,3,3,3,1,5,403,1,0,400,803,3,1098,866,1964,0,2,1,4,3,8,8,1,4,1976.0,2,2,483,2,0,69,0,0,2767,2.5,69,32,32,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36.0,2448,4,3,7,5,2003,2004,106.0,4,3,4,3,1,6,573,1,0,191,764,5,764,862,1626,1,2,1,2,4,6,8,0,0,2003.0,2,2,474,2,0,27,0,0,2390,3.5,27,5,4,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60.0,7024,4,3,4,5,2005,2005,0.0,3,3,4,3,1,6,1024,1,0,108,1132,5,1132,0,1132,1,1,1,2,4,5,8,0,0,2005.0,3,2,451,2,252,64,0,0,2264,2.5,64,3,3,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
60.0,8190,4,3,4,6,1954,1954,0.0,3,3,3,3,1,3,732,1,0,216,948,5,948,0,948,1,1,0,3,3,5,8,1,3,1956.0,1,1,280,2,0,36,0,0,1896,2.0,36,53,53,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
60.0,9000,4,3,4,6,1971,1971,0.0,3,3,3,3,1,5,616,1,0,248,864,3,864,0,864,0,1,0,3,3,5,8,0,0,1974.0,1,2,528,2,0,0,0,0,1728,1.0,0,36,36,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
100.0,25000,4,3,5,4,1967,1967,0.0,3,3,3,3,3,1,0,1,0,1632,1632,3,1632,0,1632,0,2,0,4,3,8,8,0,0,1967.0,1,2,576,1,0,0,0,0,3264,2.0,0,40,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73.5,2117,4,3,6,5,2000,2000,456.0,4,3,4,3,1,6,436,1,0,320,756,5,769,756,1525,0,2,1,3,4,5,8,1,3,2000.0,1,2,440,2,0,0,0,0,2281,2.5,0,7,7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
73.0,12772,3,3,6,8,1960,1998,0.0,3,4,3,3,2,4,498,1,0,460,958,3,958,0,958,0,1,0,2,3,5,8,0,0,1960.0,2,1,301,2,0,0,0,0,1916,1.0,0,47,9,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
71.0,10246,3,3,4,9,1965,2001,0.0,3,4,3,4,3,6,648,1,0,0,648,5,960,0,960,1,0,0,0,3,3,8,0,0,1965.0,1,1,364,2,88,0,0,0,1608,1.5,0,41,5,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86.0,11839,4,3,7,5,1990,1990,99.0,3,3,4,3,1,6,1085,1,0,390,1475,5,1532,797,2329,1,2,1,4,4,10,8,1,5,1990.0,1,2,514,2,192,121,0,0,3804,3.5,121,18,18,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
55.0,7642,4,3,7,8,1918,1998,0.0,4,3,3,3,1,1,0,1,0,912,912,4,912,514,1426,0,1,1,3,4,7,8,1,4,1925.0,1,1,216,2,0,240,0,0,2338,1.5,240,89,9,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
75.0,14587,3,3,9,5,2008,2008,284.0,4,3,4,3,1,1,0,1,0,1498,1498,5,1506,0,1506,0,2,0,2,5,6,8,1,4,2008.0,3,2,592,2,0,174,0,0,3004,2.0,174,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
52.0,6240,4,3,5,6,1928,1950,0.0,3,3,3,3,1,1,0,1,0,1042,1042,5,1042,534,1576,0,1,0,3,3,8,8,1,4,1928.0,1,1,225,2,0,0,0,0,2618,1.0,0,78,56,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
99.0,7094,3,3,5,5,1966,1966,0.0,3,3,3,3,1,3,180,2,374,340,894,3,894,0,894,0,1,0,3,3,5,8,0,0,1966.0,2,1,384,2,0,0,0,0,1788,1.0,0,41,41,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
70.0,8125,4,3,7,5,2002,2002,295.0,4,3,4,3,1,6,986,1,0,668,1654,5,1654,0,1654,1,2,0,3,4,6,8,0,0,2002.0,1,3,900,2,0,136,0,0,3308,3.0,136,4,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
130.0,11457,3,3,6,5,1988,1988,0.0,3,3,4,3,2,6,1005,1,0,387,1392,3,1412,0,1412,1,2,0,3,4,6,8,1,3,1988.0,1,2,576,2,0,0,169,0,2804,3.0,169,21,21,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
69.0,9920,3,3,5,6,1969,1969,0.0,3,3,4,3,4,5,523,1,0,448,971,3,971,0,971,0,1,1,3,3,5,8,1,1,1969.0,1,1,300,2,0,0,0,0,1942,1.5,0,37,37,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
90.0,11000,4,3,8,5,2000,2000,72.0,4,3,4,3,1,1,0,1,0,969,969,5,997,1288,2285,0,2,1,4,4,8,8,1,3,2000.0,3,3,648,2,0,56,0,0,3254,2.5,56,7,7,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
69.0,11302,3,3,8,5,2005,2006,238.0,4,3,4,3,4,6,1422,1,0,392,1814,5,1826,0,1826,1,2,0,3,4,7,8,1,3,2005.0,3,3,758,2,180,75,0,120,3640,3.0,195,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
69.0,9142,4,3,6,8,1910,1950,0.0,3,2,2,3,1,1,0,1,0,1020,1020,4,908,1020,1928,0,2,0,4,2,9,8,0,0,1910.0,1,1,440,2,0,60,112,0,2948,2.0,172,96,56,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35.0,3675,4,3,5,5,2005,2005,80.0,3,3,4,3,4,6,547,1,0,0,547,4,1072,0,1072,1,1,0,2,3,5,8,0,0,2005.0,3,2,525,2,0,28,0,0,1619,2.0,28,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
